Year,Month,Dekad,Rainfall (mm),Average (mm),County 
2014,1,1,12.959,25.224,Bomet 
2014,1,2,33.653,28.878,Bomet 
2014,1,3,6.122,29.918,Bomet 
2014,2,1,60.673,25.265,Bomet 
2014,2,2,81.551,34.673,Bomet 
2014,2,3,20.327,21.776,Bomet 
2014,3,1,6.367,43.51,Bomet 
2014,3,2,77.224,42.306,Bomet 
2014,3,3,61.612,57.224,Bomet 
2014,4,1,49.918,64.082,Bomet 
2014,4,2,18.449,54.959,Bomet 
2014,4,3,15.184,67.755,Bomet 
2014,5,1,41.592,61.449,Bomet 
2014,5,2,33.959,54.306,Bomet 
2014,5,3,47.082,42.714,Bomet 
2014,6,1,32.673,37.041,Bomet 
2014,6,2,46.98,29.714,Bomet 
2014,6,3,14.837,23.347,Bomet 
2014,7,1,11.163,17.755,Bomet 
2014,7,2,20.653,18.796,Bomet 
2014,7,3,38.286,25.592,Bomet 
2014,8,1,40.224,24.49,Bomet 
2014,8,2,30.184,36.184,Bomet 
2014,8,3,93.735,36.265,Bomet 
2014,9,1,42.347,29.673,Bomet 
2014,9,2,28.469,29.184,Bomet 
2014,9,3,22.959,30.041,Bomet 
2014,10,1,20.776,24.347,Bomet 
2014,10,2,49.347,24.939,Bomet 
2014,10,3,13.939,31.388,Bomet 
2014,11,1,19.469,43.694,Bomet 
2014,11,2,32.102,36.918,Bomet 
2014,11,3,40.388,39.143,Bomet 
2014,12,1,32.673,33.551,Bomet 
2014,12,2,14.694,33,Bomet 
2014,12,3,32.857,42.49,Bomet 
2015,1,1,4.327,25.224,Bomet 
2015,1,2,4.286,28.878,Bomet 
2015,1,3,5.571,29.918,Bomet 
2015,2,1,2.286,25.265,Bomet 
2015,2,2,36.714,34.673,Bomet 
2015,2,3,4.245,21.776,Bomet 
2015,3,1,14.224,43.51,Bomet 
2015,3,2,4.796,42.306,Bomet 
2015,3,3,59.939,57.224,Bomet 
2015,4,1,121.939,64.082,Bomet 
2015,4,2,76.878,54.959,Bomet 
2015,4,3,106.102,67.755,Bomet 
2015,5,1,65.265,61.449,Bomet 
2015,5,2,94.245,54.306,Bomet 
2015,5,3,79.408,42.714,Bomet 
2015,6,1,55.653,37.041,Bomet 
2015,6,2,71.531,29.714,Bomet 
2015,6,3,15.449,23.347,Bomet 
2015,7,1,11.98,17.755,Bomet 
2015,7,2,12.388,18.796,Bomet 
2015,7,3,27.592,25.592,Bomet 
2015,8,1,29.02,24.49,Bomet 
2015,8,2,19.796,36.184,Bomet 
2015,8,3,14.98,36.265,Bomet 
2015,9,1,46.184,29.673,Bomet 
2015,9,2,16.857,29.184,Bomet 
2015,9,3,21.592,30.041,Bomet 
2015,10,1,19.673,24.347,Bomet 
2015,10,2,18.143,24.939,Bomet 
2015,10,3,60.143,31.388,Bomet 
2015,11,1,63.102,43.694,Bomet 
2015,11,2,39.531,36.918,Bomet 
2015,11,3,35.347,39.143,Bomet 
2015,12,1,37.918,33.551,Bomet 
2015,12,2,101.571,33,Bomet 
2015,12,3,26.939,42.49,Bomet 
2016,1,1,21.592,25.224,Bomet 
2016,1,2,67.918,28.878,Bomet 
2016,1,3,23.143,29.918,Bomet 
2016,2,1,11.306,25.265,Bomet 
2016,2,2,21.735,34.673,Bomet 
2016,2,3,14.959,21.776,Bomet 
2016,3,1,69.755,43.51,Bomet 
2016,3,2,11.367,42.306,Bomet 
2016,3,3,29.796,57.224,Bomet 
2016,4,1,100.551,64.082,Bomet 
