Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,3.217,14.261,Embu
2014,1,2,2.783,11.826,Embu
2014,1,3,3,12,Embu
2014,2,1,24.565,6.783,Embu
2014,2,2,24.957,11.391,Embu
2014,2,3,4.348,7.826,Embu
2014,3,1,7.043,23.435,Embu
2014,3,2,113.87,27.913,Embu
2014,3,3,29.174,45.826,Embu
2014,4,1,75.087,101.087,Embu
2014,4,2,106.348,99.609,Embu
2014,4,3,52.174,125.217,Embu
2014,5,1,31.609,71.739,Embu
2014,5,2,27.304,53.652,Embu
2014,5,3,36.609,47.957,Embu
2014,6,1,20.174,11.348,Embu
2014,6,2,16.174,9.217,Embu
2014,6,3,17.87,9,Embu
2014,7,1,11,11.783,Embu
2014,7,2,12.522,12.261,Embu
2014,7,3,10.652,14.957,Embu
2014,8,1,9.609,15.174,Embu
2014,8,2,10.957,12.696,Embu
2014,8,3,77.783,16.696,Embu
2014,9,1,20.565,11.87,Embu
2014,9,2,15.261,11,Embu
2014,9,3,6.261,9.478,Embu
2014,10,1,47.13,36.826,Embu
2014,10,2,53.783,52.261,Embu
2014,10,3,45.609,87,Embu
2014,11,1,109.087,101.043,Embu
2014,11,2,100.957,111.043,Embu
2014,11,3,33.652,85.478,Embu
2014,12,1,46.739,34.913,Embu
2014,12,2,14.261,24.478,Embu
2014,12,3,12.957,22.696,Embu
2015,1,1,4.783,14.261,Embu
2015,1,2,5,11.826,Embu
2015,1,3,5.435,12,Embu
2015,2,1,3.696,6.783,Embu
2015,2,2,16.478,11.391,Embu
2015,2,3,3.13,7.826,Embu
2015,3,1,10.391,23.435,Embu
2015,3,2,9.478,27.913,Embu
2015,3,3,40.13,45.826,Embu
2015,4,1,147.87,101.087,Embu
2015,4,2,120.696,99.609,Embu
2015,4,3,235.87,125.217,Embu
2015,5,1,58.13,71.739,Embu
2015,5,2,47.304,53.652,Embu
2015,5,3,33.913,47.957,Embu
2015,6,1,9.087,11.348,Embu
2015,6,2,4.826,9.217,Embu
2015,6,3,5.609,9,Embu
2015,7,1,16.348,11.783,Embu
2015,7,2,18.435,12.261,Embu
2015,7,3,15.174,14.957,Embu
2015,8,1,15.565,15.174,Embu
2015,8,2,5.783,12.696,Embu
2015,8,3,7.348,16.696,Embu
2015,9,1,6.391,11.87,Embu
2015,9,2,6.913,11,Embu
2015,9,3,5.043,9.478,Embu
2015,10,1,36.174,36.826,Embu
2015,10,2,86.087,52.261,Embu
2015,10,3,57.348,87,Embu
2015,11,1,158.652,101.043,Embu
2015,11,2,141.739,111.043,Embu
2015,11,3,155,85.478,Embu
2015,12,1,12.174,34.913,Embu
2015,12,2,78.957,24.478,Embu
2015,12,3,15.13,22.696,Embu
2016,1,1,14.13,14.261,Embu
2016,1,2,20.826,11.826,Embu
2016,1,3,15.652,12,Embu
2016,2,1,11.13,6.783,Embu
2016,2,2,6.435,11.391,Embu
2016,2,3,6.348,7.826,Embu
2016,3,1,43.261,23.435,Embu
2016,3,2,4.957,27.913,Embu
2016,3,3,7.783,45.826,Embu
2016,4,1,118.609,101.087,Embu
2016,4,2,86.217,99.609,Embu
2016,4,3,142.435,125.217,Embu
2016,5,1,61.652,71.739,Embu
2016,5,2,35.87,53.652,Embu
2016,5,3,17.696,47.957,Embu
2016,6,1,10.217,11.348,Embu
2016,6,2,8.522,9.217,Embu
2016,6,3,9.522,9,Embu
2016,7,1,8.261,11.783,Embu
2016,7,2,7.913,12.261,Embu
2016,7,3,10.174,14.957,Embu
2016,8,1,11.043,15.174,Embu
2016,8,2,9.87,12.696,Embu
2016,8,3,14.261,16.696,Embu
2016,9,1,9.957,11.87,Embu
2016,9,2,8.435,11,Embu
2016,9,3,11.739,9.478,Embu
2016,10,1,18.565,36.826,Embu
2016,10,2,12.609,52.261,Embu
2016,10,3,15.043,87,Embu
2016,11,1,75.13,101.043,Embu
2016,11,2,107.087,111.043,Embu
2016,11,3,141.783,85.478,Embu
2016,12,1,10.565,34.913,Embu
2016,12,2,9.174,24.478,Embu
2016,12,3,9.652,22.696,Embu
2017,1,1,2.783,14.261,Embu
2017,1,2,2.739,11.826,Embu
2017,1,3,3.522,12,Embu
2017,2,1,7.13,6.783,Embu
2017,2,2,14.478,11.391,Embu
