Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,12.867,19.222,Kakamega
2014,1,2,22.356,22.911,Kakamega
2014,1,3,8.111,22.578,Kakamega
2014,2,1,33.622,24.6,Kakamega
2014,2,2,37.489,25.244,Kakamega
2014,2,3,22.622,22.911,Kakamega
2014,3,1,1.8,44.4,Kakamega
2014,3,2,73.956,52.733,Kakamega
2014,3,3,62.422,69.222,Kakamega
2014,4,1,92.067,80.689,Kakamega
2014,4,2,29.867,77.733,Kakamega
2014,4,3,37.422,101.356,Kakamega
2014,5,1,164.444,93.822,Kakamega
2014,5,2,67.022,81.6,Kakamega
2014,5,3,140.711,79.978,Kakamega
2014,6,1,90,58.289,Kakamega
2014,6,2,81.311,56.4,Kakamega
2014,6,3,24.333,53.689,Kakamega
2014,7,1,34.222,42.933,Kakamega
2014,7,2,43.911,48.911,Kakamega
2014,7,3,126,68.467,Kakamega
2014,8,1,134.844,64.733,Kakamega
2014,8,2,80.978,68.556,Kakamega
2014,8,3,127.8,75.756,Kakamega
2014,9,1,59.867,61.444,Kakamega
2014,9,2,34.2,58.244,Kakamega
2014,9,3,76.178,52.867,Kakamega
2014,10,1,66.667,52.244,Kakamega
2014,10,2,120.978,53.333,Kakamega
2014,10,3,54.6,61.622,Kakamega
2014,11,1,27.267,58.244,Kakamega
2014,11,2,40,43.289,Kakamega
2014,11,3,53.867,43.333,Kakamega
2014,12,1,49.133,30.622,Kakamega
2014,12,2,19.156,23,Kakamega
2014,12,3,18.822,31.822,Kakamega
2015,1,1,1.8,19.222,Kakamega
2015,1,2,1.222,22.911,Kakamega
2015,1,3,1.778,22.578,Kakamega
2015,2,1,1.933,24.6,Kakamega
2015,2,2,30.133,25.244,Kakamega
2015,2,3,4.067,22.911,Kakamega
2015,3,1,8.467,44.4,Kakamega
2015,3,2,0.844,52.733,Kakamega
2015,3,3,80.133,69.222,Kakamega
2015,4,1,182.4,80.689,Kakamega
2015,4,2,71.2,77.733,Kakamega
2015,4,3,87.244,101.356,Kakamega
2015,5,1,136.689,93.822,Kakamega
2015,5,2,67.667,81.6,Kakamega
2015,5,3,131.667,79.978,Kakamega
2015,6,1,69.444,58.289,Kakamega
2015,6,2,109.911,56.4,Kakamega
2015,6,3,33.156,53.689,Kakamega
2015,7,1,21.6,42.933,Kakamega
2015,7,2,33.8,48.911,Kakamega
2015,7,3,91.867,68.467,Kakamega
2015,8,1,64.289,64.733,Kakamega
2015,8,2,28.911,68.556,Kakamega
2015,8,3,34.022,75.756,Kakamega
2015,9,1,69.911,61.444,Kakamega
2015,9,2,35.2,58.244,Kakamega
2015,9,3,51.778,52.867,Kakamega
2015,10,1,28.467,52.244,Kakamega
2015,10,2,56.022,53.333,Kakamega
2015,10,3,159.644,61.622,Kakamega
2015,11,1,73.311,58.244,Kakamega
2015,11,2,62.067,43.289,Kakamega
2015,11,3,28.911,43.333,Kakamega
