Year,Season,Longitude_Round,Latitude_Round,Longitude,Latitude,kgs per acre,dry_weight_bags_per_acre (90kg),Crop,Yield (MT/Ha),Ward,Sub County,COUNTY_NAM
2019,LR,37.72500324,0.074999256,37.7192434,0.0539155,514.2884583,,Maize,1.27,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7192126,0.0540917,495.74035,,Maize,1.23,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7150609,0.0546073,452.4614306,,Maize,1.12,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7241761,0.0583822,409.1825111,,Maize,1.01,Nyaki East,North Imenti,Meru
2019,LR,37.82500325,0.024999255,37.8071012,0.0063301,303.5145,,Maize,0.75,unknown 5,unknown 5,Meru
2019,LR,37.82500325,0.024999255,37.8213535,0.0017968,396.2550417,,Maize,0.98,unknown 5,unknown 5,Meru
2019,LR,37.72500324,0.074999256,37.7189599,0.05424,0,,Maize,0,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7344549,0.0665352,356.9105694,,Maize,0.88,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.726393,0.056291,351.2899306,,Maize,0.87,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7255919,0.0572976,478.8784333,,Maize,1.18,Nyaki East,North Imenti,Meru
2019,LR,34.6250032,0.024999255,34.6240199,0.036549,345.6692917,,Maize,0.85,Emabungo,Luanda,Vihiga
2019,LR,34.6250032,0.024999255,34.624095,0.0366596,306.3248194,,Maize,0.76,Emabungo,Luanda,Vihiga
2019,LR,37.72500324,0.074999256,37.7214162,0.0599947,356.9105694,,Maize,0.88,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7191877,0.0542212,827.9201083,,Maize,2.05,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7188252,0.0543922,845.9061528,,Maize,2.09,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7194315,0.0539778,778.4584861,,Maize,1.92,Nyaki East,North Imenti,Meru
2019,LR,34.6250032,0.024999255,34.6242246,0.0365076,868.9507722,,Maize,2.15,Emabungo,Luanda,Vihiga
2019,LR,37.72500324,0.074999256,37.7189543,0.0543012,,,Maize,0,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7168908,0.0544983,559.2535694,,Maize,1.38,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.722845,0.0552235,562.0638889,,Maize,1.39,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7200509,0.0538849,573.3051667,,Maize,1.42,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7201042,0.0539156,475.50605,,Maize,1.18,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7190348,0.0542614,310.8213306,,Maize,0.77,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7191352,0.0545092,990.9186361,,Maize,2.45,Nyaki East,North Imenti,Meru
2019,LR,34.6250032,0.024999255,34.6241257,0.0366575,452.4614306,,Maize,1.12,Emabungo,Luanda,Vihiga
2019,LR,37.72500324,0.074999256,37.7185684,0.0544555,356.9105694,,Maize,0.88,Nyaki East,North Imenti,Meru
2019,LR,34.32500319,0.474999262,34.316395,0.4692449,522.7194167,,Maize,1.29,Bukhayo East,Nambale,Busia
2019,LR,34.32500319,0.474999262,34.3161252,0.4692003,643.5631528,,Maize,1.59,Bukhayo East,Nambale,Busia
2019,LR,37.72500324,0.074999256,37.7185679,0.0546486,696.3971583,,Maize,1.72,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.024999255,37.7378802,0.0216787,0,,Maize,0,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.074999256,37.7192902,0.0541826,,,Maize,0,Nyaki East,North Imenti,Meru
2019,LR,37.72500324,0.024999255,37.7350507,0.0357075,590.1670833,,Maize,1.46,Nyaki East,North Imenti,Meru
2019,LR,37.77500324,0.024999255,37.7596103,0.0490591,87.11990278,,Maize,0.22,Nyaki East,North Imenti,Meru
2019,LR,37.77500324,0.024999255,37.7634065,0.0231126,230.4461944,,Maize,0.57,Nyaki East,North Imenti,Meru
