Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,6.821,18.836,Kericho
2014,1,2,18.179,25.985,Kericho
2014,1,3,4.403,22.254,Kericho
2014,2,1,35.866,18.642,Kericho
2014,2,2,63.478,23.657,Kericho
2014,2,3,13.388,17.09,Kericho
2014,3,1,4.507,35.075,Kericho
2014,3,2,68.119,38.478,Kericho
2014,3,3,61.358,54.657,Kericho
2014,4,1,52.746,61.493,Kericho
2014,4,2,24.881,64.373,Kericho
2014,4,3,13.299,80.179,Kericho
2014,5,1,81.672,66.373,Kericho
2014,5,2,47.403,58.224,Kericho
2014,5,3,58.299,51.836,Kericho
2014,6,1,57.955,47.821,Kericho
2014,6,2,43.925,40.597,Kericho
2014,6,3,17.522,37.612,Kericho
2014,7,1,22.164,34.03,Kericho
2014,7,2,24.224,41.478,Kericho
2014,7,3,101.119,52.896,Kericho
2014,8,1,74.597,42.97,Kericho
2014,8,2,60.657,53.657,Kericho
2014,8,3,107.358,55.761,Kericho
2014,9,1,53,38.821,Kericho
2014,9,2,27.746,35.478,Kericho
2014,9,3,40.925,35.313,Kericho
2014,10,1,35.627,33.358,Kericho
2014,10,2,63.313,34,Kericho
2014,10,3,20.03,41.97,Kericho
2014,11,1,17.672,43.91,Kericho
2014,11,2,23.582,35.328,Kericho
2014,11,3,46.881,37.746,Kericho
2014,12,1,35.403,26.716,Kericho
2014,12,2,9.672,22.761,Kericho
2014,12,3,26.761,32.463,Kericho
2015,1,1,2.776,18.836,Kericho
2015,1,2,3.343,25.985,Kericho
2015,1,3,2.597,22.254,Kericho
2015,2,1,0.91,18.642,Kericho
2015,2,2,30.358,23.657,Kericho
2015,2,3,1.522,17.09,Kericho
2015,3,1,11.343,35.075,Kericho
2015,3,2,3.836,38.478,Kericho
2015,3,3,59.507,54.657,Kericho
2015,4,1,118.94,61.493,Kericho
2015,4,2,71.91,64.373,Kericho
2015,4,3,100.149,80.179,Kericho
2015,5,1,83.164,66.373,Kericho
2015,5,2,66.701,58.224,Kericho
2015,5,3,71.299,51.836,Kericho
2015,6,1,53.806,47.821,Kericho
2015,6,2,84.209,40.597,Kericho
2015,6,3,21.97,37.612,Kericho
2015,7,1,21.985,34.03,Kericho
2015,7,2,27.149,41.478,Kericho
2015,7,3,41.806,52.896,Kericho
2015,8,1,41.567,42.97,Kericho
2015,8,2,19.134,53.657,Kericho
