Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,4,13.021,Kirinyaga
2014,1,2,3.833,13.479,Kirinyaga
2014,1,3,3.812,12.812,Kirinyaga
2014,2,1,22.979,6.729,Kirinyaga
2014,2,2,27.229,10.667,Kirinyaga
2014,2,3,4,6.979,Kirinyaga
2014,3,1,7.458,21.167,Kirinyaga
2014,3,2,106.917,24.812,Kirinyaga
2014,3,3,26.333,39.583,Kirinyaga
2014,4,1,51.792,83.479,Kirinyaga
2014,4,2,77.667,82.708,Kirinyaga
2014,4,3,45.333,103.562,Kirinyaga
2014,5,1,36.25,69.188,Kirinyaga
2014,5,2,28.688,51.771,Kirinyaga
2014,5,3,36.5,47.5,Kirinyaga
2014,6,1,24.104,12.938,Kirinyaga
2014,6,2,21.75,11.792,Kirinyaga
2014,6,3,24.854,10.833,Kirinyaga
2014,7,1,11.75,12.521,Kirinyaga
2014,7,2,13.271,12.208,Kirinyaga
2014,7,3,13.625,16.167,Kirinyaga
2014,8,1,9.917,14.146,Kirinyaga
2014,8,2,11.396,11.708,Kirinyaga
2014,8,3,73.833,16,Kirinyaga
2014,9,1,22.708,11.625,Kirinyaga
2014,9,2,16.771,10.958,Kirinyaga
2014,9,3,6.208,9.542,Kirinyaga
2014,10,1,39.583,30.042,Kirinyaga
2014,10,2,44.125,39.521,Kirinyaga
2014,10,3,38.083,64.438,Kirinyaga
2014,11,1,75.708,76.625,Kirinyaga
2014,11,2,75.917,81.646,Kirinyaga
2014,11,3,31.417,63.708,Kirinyaga
2014,12,1,32.25,27.729,Kirinyaga
2014,12,2,16.667,23.271,Kirinyaga
2014,12,3,16.062,22.979,Kirinyaga
2015,1,1,5.604,13.021,Kirinyaga
2015,1,2,5.771,13.479,Kirinyaga
2015,1,3,6.688,12.812,Kirinyaga
2015,2,1,3.417,6.729,Kirinyaga
2015,2,2,19.479,10.667,Kirinyaga
2015,2,3,2.688,6.979,Kirinyaga
2015,3,1,9.917,21.167,Kirinyaga
2015,3,2,9.271,24.812,Kirinyaga
2015,3,3,29.375,39.583,Kirinyaga
2015,4,1,122.542,83.479,Kirinyaga
2015,4,2,99.812,82.708,Kirinyaga
2015,4,3,178.458,103.562,Kirinyaga
2015,5,1,52.75,69.188,Kirinyaga
2015,5,2,57.292,51.771,Kirinyaga
2015,5,3,37.562,47.5,Kirinyaga
2015,6,1,10.333,12.938,Kirinyaga
2015,6,2,7.146,11.792,Kirinyaga
2015,6,3,8.312,10.833,Kirinyaga
2015,7,1,18.292,12.521,Kirinyaga
2015,7,2,18.042,12.208,Kirinyaga
2015,7,3,15.667,16.167,Kirinyaga
2015,8,1,15.958,14.146,Kirinyaga
2015,8,2,6.104,11.708,Kirinyaga
2015,8,3,7.917,16,Kirinyaga
2015,9,1,7.021,11.625,Kirinyaga
2015,9,2,7.375,10.958,Kirinyaga
2015,9,3,5.021,9.542,Kirinyaga
2015,10,1,33.146,30.042,Kirinyaga
2015,10,2,56.833,39.521,Kirinyaga
2015,10,3,66.562,64.438,Kirinyaga
2015,11,1,130.604,76.625,Kirinyaga
2015,11,2,98.562,81.646,Kirinyaga
2015,11,3,98.917,63.708,Kirinyaga
2015,12,1,13.188,27.729,Kirinyaga
2015,12,2,72.792,23.271,Kirinyaga
2015,12,3,17.229,22.979,Kirinyaga
2016,1,1,13.521,13.021,Kirinyaga
