Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,1.652,9.903,Kitui
2014,1,2,1.324,6.676,Kitui
2014,1,3,1.303,4.882,Kitui
2014,2,1,8.357,2.809,Kitui
2014,2,2,6.471,5.463,Kitui
2014,2,3,1.595,3.788,Kitui
2014,3,1,5.356,17.525,Kitui
2014,3,2,79.641,20.676,Kitui
2014,3,3,27.599,32.028,Kitui
2014,4,1,39.29,49.067,Kitui
2014,4,2,26.027,27.889,Kitui
2014,4,3,13.942,32.315,Kitui
2014,5,1,5.514,11.794,Kitui
2014,5,2,3.368,4.916,Kitui
2014,5,3,3.668,4.819,Kitui
2014,6,1,1.885,1.09,Kitui
2014,6,2,0.779,0.43,Kitui
2014,6,3,1.205,0.592,Kitui
2014,7,1,1.833,1.302,Kitui
2014,7,2,2.502,1.556,Kitui
2014,7,3,2.77,1.877,Kitui
2014,8,1,2.199,1.74,Kitui
2014,8,2,2.371,1.472,Kitui
2014,8,3,2.646,1.674,Kitui
2014,9,1,2.574,1.7,Kitui
2014,9,2,2.942,1.616,Kitui
2014,9,3,2.426,2.777,Kitui
2014,10,1,7.154,6.275,Kitui
2014,10,2,5.794,8.076,Kitui
2014,10,3,5.583,16.942,Kitui
2014,11,1,54.755,61.453,Kitui
2014,11,2,68.127,63.564,Kitui
2014,11,3,27.825,59.767,Kitui
2014,12,1,63.975,46.51,Kitui
2014,12,2,16.004,38.997,Kitui
2014,12,3,17.788,32.392,Kitui
2015,1,1,1.598,9.903,Kitui
2015,1,2,1.477,6.676,Kitui
2015,1,3,1.435,4.882,Kitui
2015,2,1,1.487,2.809,Kitui
2015,2,2,4.154,5.463,Kitui
2015,2,3,1.741,3.788,Kitui
2015,3,1,9.425,17.525,Kitui
2015,3,2,7.028,20.676,Kitui
2015,3,3,15.716,32.028,Kitui
2015,4,1,45.49,49.067,Kitui
2015,4,2,62.048,27.889,Kitui
2015,4,3,57.063,32.315,Kitui
2015,5,1,38.927,11.794,Kitui
2015,5,2,4.578,4.916,Kitui
2015,5,3,4.777,4.819,Kitui
2015,6,1,1.233,1.09,Kitui
2015,6,2,0.438,0.43,Kitui
2015,6,3,0.819,0.592,Kitui
2015,7,1,3.043,1.302,Kitui
2015,7,2,3.224,1.556,Kitui
2015,7,3,3.607,1.877,Kitui
2015,8,1,2.842,1.74,Kitui
2015,8,2,1.722,1.472,Kitui
2015,8,3,2.353,1.674,Kitui
2015,9,1,2.215,1.7,Kitui
2015,9,2,1.746,1.616,Kitui
2015,9,3,2.239,2.777,Kitui
2015,10,1,8.93,6.275,Kitui
2015,10,2,15.507,8.076,Kitui
2015,10,3,14.574,16.942,Kitui
2015,11,1,60.967,61.453,Kitui
2015,11,2,129.278,63.564,Kitui
2015,11,3,85.543,59.767,Kitui
2015,12,1,28.882,46.51,Kitui
2015,12,2,121.921,38.997,Kitui
2015,12,3,14.623,32.392,Kitui
2016,1,1,14.493,9.903,Kitui
2016,1,2,7.181,6.676,Kitui
2016,1,3,5.242,4.882,Kitui
2016,2,1,3.465,2.809,Kitui
2016,2,2,2.572,5.463,Kitui
2016,2,3,3.665,3.788,Kitui
2016,3,1,32.629,17.525,Kitui
2016,3,2,3.208,20.676,Kitui
2016,3,3,2.371,32.028,Kitui
