Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,1.323,15.852,Makueni
2014,1,2,2.545,12.245,Makueni
2014,1,3,1.284,8.926,Makueni
2014,2,1,19.486,6.023,Makueni
2014,2,2,25.183,12.307,Makueni
2014,2,3,1.611,5.681,Makueni
2014,3,1,4.397,23.128,Makueni
2014,3,2,84.568,23.125,Makueni
2014,3,3,26.315,38.942,Makueni
2014,4,1,25.759,52.821,Makueni
2014,4,2,18.728,32.875,Makueni
2014,4,3,15.401,38.802,Makueni
2014,5,1,7.611,17.883,Makueni
2014,5,2,6.066,9.393,Makueni
2014,5,3,6.214,9.751,Makueni
2014,6,1,3.416,2.802,Makueni
2014,6,2,1.949,1.058,Makueni
2014,6,3,1.724,0.84,Makueni
2014,7,1,1.296,1.117,Makueni
2014,7,2,1.506,0.996,Makueni
2014,7,3,1.743,1.374,Makueni
2014,8,1,1.615,1.603,Makueni
2014,8,2,2.008,1.591,Makueni
2014,8,3,2.109,1.669,Makueni
2014,9,1,1.412,0.782,Makueni
2014,9,2,1.233,0.681,Makueni
2014,9,3,2.331,1.957,Makueni
2014,10,1,7.455,6.724,Makueni
2014,10,2,12.506,8.588,Makueni
2014,10,3,6.086,13.518,Makueni
2014,11,1,60.708,61.179,Makueni
2014,11,2,45.339,54.868,Makueni
2014,11,3,45.786,57.903,Makueni
2014,12,1,62.276,44.732,Makueni
2014,12,2,20.132,42.089,Makueni
2014,12,3,22.385,37.716,Makueni
2015,1,1,1.125,15.852,Makueni
2015,1,2,1.218,12.245,Makueni
2015,1,3,1.28,8.926,Makueni
2015,2,1,1.712,6.023,Makueni
2015,2,2,17.315,12.307,Makueni
2015,2,3,1.588,5.681,Makueni
2015,3,1,26.093,23.128,Makueni
2015,3,2,6.763,23.125,Makueni
2015,3,3,21.833,38.942,Makueni
2015,4,1,77.49,52.821,Makueni
2015,4,2,81.743,32.875,Makueni
2015,4,3,61.872,38.802,Makueni
2015,5,1,60.615,17.883,Makueni
2015,5,2,7.521,9.393,Makueni
2015,5,3,9.467,9.751,Makueni
2015,6,1,2.77,2.802,Makueni
2015,6,2,0.922,1.058,Makueni
2015,6,3,0.786,0.84,Makueni
2015,7,1,2.183,1.117,Makueni
2015,7,2,2.125,0.996,Makueni
2015,7,3,2.868,1.374,Makueni
2015,8,1,2.331,1.603,Makueni
2015,8,2,1.654,1.591,Makueni
2015,8,3,2.043,1.669,Makueni
2015,9,1,1.35,0.782,Makueni
2015,9,2,0.953,0.681,Makueni
2015,9,3,1.802,1.957,Makueni
2015,10,1,9.241,6.724,Makueni
2015,10,2,12.498,8.588,Makueni
2015,10,3,10.704,13.518,Makueni
2015,11,1,70.366,61.179,Makueni
2015,11,2,124.047,54.868,Makueni
2015,11,3,54.362,57.903,Makueni
