Year,Month,Dekad,Rainfall (mm),Average (mm),County 
2014,1,1,1.367,3.867,Marsabit
2014,1,2,0.796,3.141,Marsabit
2014,1,3,1.203,3.124,Marsabit
2014,2,1,7.23,2.317,Marsabit
2014,2,2,6.693,2.697,Marsabit
2014,2,3,1.198,3.195,Marsabit
2014,3,1,1.77,8.599,Marsabit
2014,3,2,34.253,10.32,Marsabit
2014,3,3,18.631,18.023,Marsabit
2014,4,1,35.44,27.664,Marsabit
2014,4,2,11.834,23.253,Marsabit
2014,4,3,4.273,27.798,Marsabit
2014,5,1,5.871,8.393,Marsabit
2014,5,2,5.155,4.458,Marsabit
2014,5,3,4.004,4.166,Marsabit
2014,6,1,0.352,0.517,Marsabit
2014,6,2,0.123,0.166,Marsabit
2014,6,3,0.149,0.199,Marsabit
2014,7,1,3.205,1.123,Marsabit
2014,7,2,0.859,1.279,Marsabit
2014,7,3,1.144,1.295,Marsabit
2014,8,1,0.558,0.586,Marsabit
2014,8,2,0.661,0.619,Marsabit
2014,8,3,2.098,0.548,Marsabit
2014,9,1,0.133,0.083,Marsabit
2014,9,2,0.144,0.124,Marsabit
2014,9,3,0.567,0.572,Marsabit
2014,10,1,7.329,6.241,Marsabit
2014,10,2,8.139,8.429,Marsabit
2014,10,3,5.136,11.367,Marsabit
2014,11,1,8.215,16.775,Marsabit
2014,11,2,13.146,14.02,Marsabit
2014,11,3,15.317,15.156,Marsabit
2014,12,1,18.216,12.163,Marsabit
2014,12,2,4.802,8.989,Marsabit
2014,12,3,6.656,9.74,Marsabit
2015,1,1,1.591,3.867,Marsabit
2015,1,2,1.239,3.141,Marsabit
2015,1,3,1.589,3.124,Marsabit
2015,2,1,0.945,2.317,Marsabit
2015,2,2,2.195,2.697,Marsabit
2015,2,3,1.357,3.195,Marsabit
2015,3,1,2.29,8.599,Marsabit
2015,3,2,2.178,10.32,Marsabit
2015,3,3,10.427,18.023,Marsabit
2015,4,1,58.284,27.664,Marsabit
2015,4,2,46.778,23.253,Marsabit
2015,4,3,29.504,27.798,Marsabit
2015,5,1,12.907,8.393,Marsabit
2015,5,2,1.623,4.458,Marsabit
2015,5,3,3.073,4.166,Marsabit
2015,6,1,0.494,0.517,Marsabit
2015,6,2,0.132,0.166,Marsabit
2015,6,3,0.194,0.199,Marsabit
2015,7,1,1.172,1.123,Marsabit
2015,7,2,1.464,1.279,Marsabit
2015,7,3,1.167,1.295,Marsabit
2015,8,1,0.613,0.586,Marsabit
2015,8,2,0.669,0.619,Marsabit
2015,8,3,0.556,0.548,Marsabit
2015,9,1,0.109,0.083,Marsabit
2015,9,2,0.13,0.124,Marsabit
2015,9,3,0.846,0.572,Marsabit
2015,10,1,11.749,6.241,Marsabit
2015,10,2,8.083,8.429,Marsabit
2015,10,3,4.913,11.367,Marsabit
2015,11,1,20.133,16.775,Marsabit
2015,11,2,28.871,14.02,Marsabit
2015,11,3,16.482,15.156,Marsabit
2015,12,1,6.983,12.163,Marsabit
2015,12,2,31.06,8.989,Marsabit
2015,12,3,8.234,9.74,Marsabit
2016,1,1,3.957,3.867,Marsabit
2016,1,2,3.037,3.141,Marsabit
2016,1,3,3.101,3.124,Marsabit
2016,2,1,1.368,2.317,Marsabit
2016,2,2,1.677,2.697,Marsabit
2016,2,3,5.347,3.195,Marsabit
2016,3,1,13.116,8.599,Marsabit
2016,3,2,2.043,10.32,Marsabit
2016,3,3,1.776,18.023,Marsabit
2016,4,1,33.494,27.664,Marsabit
2016,4,2,38.503,23.253,Marsabit
2016,4,3,53.703,27.798,Marsabit
2016,5,1,11.731,8.393,Marsabit
2016,5,2,1.742,4.458,Marsabit
2016,5,3,1.959,4.166,Marsabit
2016,6,1,0.473,0.517,Marsabit
2016,6,2,0.151,0.166,Marsabit
2016,6,3,0.456,0.199,Marsabit
2016,7,1,1.179,1.123,Marsabit
2016,7,2,1.088,1.279,Marsabit
2016,7,3,1.091,1.295,Marsabit
2016,8,1,0.511,0.586,Marsabit
2016,8,2,0.584,0.619,Marsabit
2016,8,3,0.579,0.548,Marsabit
2016,9,1,0.095,0.083,Marsabit
2016,9,2,0.125,0.124,Marsabit
2016,9,3,0.727,0.572,Marsabit
2016,10,1,6.072,6.241,Marsabit
2016,10,2,3.808,8.429,Marsabit
2016,10,3,5.379,11.367,Marsabit
2016,11,1,8.888,16.775,Marsabit
2016,11,2,17.198,14.02,Marsabit
2016,11,3,13.674,15.156,Marsabit
2016,12,1,4.016,12.163,Marsabit
