Year,Month,Dekad,Rainfall (mm),Average (mm),County 
2014,1,1,5.745,15.764,Nyeri
2014,1,2,7.291,18.1,Nyeri
2014,1,3,6.009,16.136,Nyeri
2014,2,1,36.936,12.182,Nyeri
2014,2,2,52.891,19.873,Nyeri
2014,2,3,5.5,11.209,Nyeri
2014,3,1,7.836,24.664,Nyeri
2014,3,2,113.182,26.627,Nyeri
2014,3,3,25.7,40.155,Nyeri
2014,4,1,39.8,67.236,Nyeri
2014,4,2,66.973,65.791,Nyeri
2014,4,3,36.373,80.755,Nyeri
2014,5,1,36.145,67.164,Nyeri
2014,5,2,32.5,53.855,Nyeri
2014,5,3,36.773,46.1,Nyeri
2014,6,1,30.382,20.8,Nyeri
2014,6,2,21.091,17.245,Nyeri
2014,6,3,22.4,14.545,Nyeri
2014,7,1,10.345,14.509,Nyeri
2014,7,2,10.782,13.909,Nyeri
2014,7,3,12.936,18.882,Nyeri
2014,8,1,10.655,16.409,Nyeri
2014,8,2,13.636,16.136,Nyeri
2014,8,3,76.182,20.827,Nyeri
2014,9,1,27.555,13.564,Nyeri
2014,9,2,13.845,12.718,Nyeri
2014,9,3,6.755,12.3,Nyeri
2014,10,1,42.364,32.827,Nyeri
2014,10,2,45.673,39.955,Nyeri
2014,10,3,43.409,61.064,Nyeri
2014,11,1,56.582,55.4,Nyeri
2014,11,2,67.936,57.255,Nyeri
2014,11,3,26.327,44.018,Nyeri
2014,12,1,27.318,27.009,Nyeri
2014,12,2,19.491,24.6,Nyeri
2014,12,3,25.3,25.482,Nyeri
2015,1,1,7.673,15.764,Nyeri
2015,1,2,7.636,18.1,Nyeri
2015,1,3,9,16.136,Nyeri
2015,2,1,4.882,12.182,Nyeri
2015,2,2,32.627,19.873,Nyeri
2015,2,3,3.464,11.209,Nyeri
2015,3,1,11.127,24.664,Nyeri
2015,3,2,12.418,26.627,Nyeri
2015,3,3,32.118,40.155,Nyeri
2015,4,1,100.945,67.236,Nyeri
2015,4,2,98.918,65.791,Nyeri
2015,4,3,143.8,80.755,Nyeri
2015,5,1,53.364,67.164,Nyeri
2015,5,2,59.255,53.855,Nyeri
2015,5,3,42.9,46.1,Nyeri
2015,6,1,22.282,20.8,Nyeri
2015,6,2,10.673,17.245,Nyeri
2015,6,3,7.327,14.545,Nyeri
2015,7,1,14.327,14.509,Nyeri
2015,7,2,12.473,13.909,Nyeri
2015,7,3,12.564,18.882,Nyeri
2015,8,1,14.155,16.409,Nyeri
2015,8,2,7.709,16.136,Nyeri
2015,8,3,8.445,20.827,Nyeri
2015,9,1,6.627,13.564,Nyeri
2015,9,2,6.836,12.718,Nyeri
2015,9,3,6.555,12.3,Nyeri
2015,10,1,37.391,32.827,Nyeri
2015,10,2,56.409,39.955,Nyeri
2015,10,3,75.155,61.064,Nyeri
2015,11,1,100.845,55.4,Nyeri
2015,11,2,78.091,57.255,Nyeri
2015,11,3,72.409,44.018,Nyeri
2015,12,1,14.373,27.009,Nyeri
2015,12,2,77,24.6,Nyeri
2015,12,3,18.464,25.482,Nyeri
2016,1,1,15.455,15.764,Nyeri
2016,1,2,70.8,18.1,Nyeri
2016,1,3,25.455,16.136,Nyeri
2016,2,1,12.818,12.182,Nyeri
2016,2,2,8.427,19.873,Nyeri
2016,2,3,7.036,11.209,Nyeri
2016,3,1,46.509,24.664,Nyeri
2016,3,2,7.445,26.627,Nyeri
2016,3,3,12.9,40.155,Nyeri
2016,4,1,129.718,67.236,Nyeri
2016,4,2,54.691,65.791,Nyeri
2016,4,3,94.891,80.755,Nyeri
2016,5,1,45.382,67.164,Nyeri
2016,5,2,69.318,53.855,Nyeri
2016,5,3,26.045,46.1,Nyeri
2016,6,1,16.645,20.8,Nyeri
2016,6,2,15.755,17.245,Nyeri
2016,6,3,15.345,14.545,Nyeri
2016,7,1,8.236,14.509,Nyeri
2016,7,2,6.418,13.909,Nyeri
2016,7,3,11.836,18.882,Nyeri
2016,8,1,13.873,16.409,Nyeri
2016,8,2,11.4,16.136,Nyeri
2016,8,3,23.918,20.827,Nyeri
2016,9,1,8.709,13.564,Nyeri
2016,9,2,8.545,12.718,Nyeri
2016,9,3,15.373,12.3,Nyeri
2016,10,1,30.273,32.827,Nyeri
2016,10,2,19.827,39.955,Nyeri
2016,10,3,23.727,61.064,Nyeri
2016,11,1,49.664,55.4,Nyeri
2016,11,2,57.791,57.255,Nyeri
2016,11,3,74.018,44.018,Nyeri
2016,12,1,11.936,27.009,Nyeri
2016,12,2,11.745,24.6,Nyeri
2016,12,3,10.918,25.482,Nyeri
2017,1,1,5.2,15.764,Nyeri
2017,1,2,7.782,18.1,Nyeri
2017,1,3,8.673,16.136,Nyeri
2017,2,1,10.055,12.182,Nyeri
2017,2,2,18.709,19.873,Nyeri
2017,2,3,30.327,11.209,Nyeri
2017,3,1,13.827,24.664,Nyeri
2017,3,2,8.436,26.627,Nyeri
2017,3,3,18.045,40.155,Nyeri
2017,4,1,44.264,67.236,Nyeri
2017,4,2,30.109,65.791,Nyeri
2017,4,3,49.655,80.755,Nyeri
2017,5,1,71.155,67.164,Nyeri
2017,5,2,34.973,53.855,Nyeri
2017,5,3,32.882,46.1,Nyeri
2017,6,1,7.382,20.8,Nyeri
2017,6,2,7.745,17.245,Nyeri
2017,6,3,9.782,14.545,Nyeri
2017,7,1,11.473,14.509,Nyeri
2017,7,2,14.1,13.909,Nyeri
2017,7,3,20.318,18.882,Nyeri
2017,8,1,30.336,16.409,Nyeri
2017,8,2,16.727,16.136,Nyeri
2017,8,3,27.609,20.827,Nyeri
2017,9,1,13.782,13.564,Nyeri
