Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,21.18,19.38,Siaya
2014,1,2,29.72,21.68,Siaya
2014,1,3,5.98,20.64,Siaya
2014,2,1,41.82,23.06,Siaya
2014,2,2,17.1,22.2,Siaya
2014,2,3,23.22,19.64,Siaya
2014,3,1,4.24,41.76,Siaya
2014,3,2,65.72,45.78,Siaya
2014,3,3,66.58,65.24,Siaya
2014,4,1,101.88,72.72,Siaya
2014,4,2,38.08,75.04,Siaya
2014,4,3,22.16,90.42,Siaya
2014,5,1,121.16,83.04,Siaya
2014,5,2,81.68,72.04,Siaya
2014,5,3,103.44,72.74,Siaya
2014,6,1,74.82,43.34,Siaya
2014,6,2,55.6,41.62,Siaya
2014,6,3,10.62,32.78,Siaya
2014,7,1,19.04,23.3,Siaya
2014,7,2,23.32,22.54,Siaya
2014,7,3,57.48,32.44,Siaya
2014,8,1,63.72,31.38,Siaya
2014,8,2,46.02,35.34,Siaya
2014,8,3,71.86,41.3,Siaya
2014,9,1,44.16,46.34,Siaya
2014,9,2,36.82,49.42,Siaya
2014,9,3,70.12,45.42,Siaya
2014,10,1,65.44,43.46,Siaya
2014,10,2,80.48,48.8,Siaya
2014,10,3,76.3,55.98,Siaya
2014,11,1,33.72,63.6,Siaya
2014,11,2,48.24,51.42,Siaya
2014,11,3,71.28,51.02,Siaya
2014,12,1,45.38,36.56,Siaya
2014,12,2,19.76,26.28,Siaya
2014,12,3,27.44,35.96,Siaya
2015,1,1,2.2,19.38,Siaya
2015,1,2,1.3,21.68,Siaya
2015,1,3,3.28,20.64,Siaya
2015,2,1,0.94,23.06,Siaya
2015,2,2,29.84,22.2,Siaya
2015,2,3,5.5,19.64,Siaya
2015,3,1,6.72,41.76,Siaya
2015,3,2,0.3,45.78,Siaya
2015,3,3,95.32,65.24,Siaya
2015,4,1,140.26,72.72,Siaya
2015,4,2,82.48,75.04,Siaya
2015,4,3,85.62,90.42,Siaya
2015,5,1,124.52,83.04,Siaya
2015,5,2,72.08,72.04,Siaya
2015,5,3,98.18,72.74,Siaya
2015,6,1,55.74,43.34,Siaya
2015,6,2,92,41.62,Siaya
2015,6,3,35.44,32.78,Siaya
2015,7,1,10.62,23.3,Siaya
2015,7,2,12.18,22.54,Siaya
2015,7,3,39.54,32.44,Siaya
2015,8,1,27.66,31.38,Siaya
2015,8,2,12.64,35.34,Siaya
2015,8,3,14.78,41.3,Siaya
2015,9,1,53.86,46.34,Siaya
2015,9,2,32.16,49.42,Siaya
2015,9,3,42.3,45.42,Siaya
2015,10,1,44.12,43.46,Siaya
2015,10,2,61.52,48.8,Siaya
2015,10,3,143.64,55.98,Siaya
2015,11,1,127.9,63.6,Siaya
2015,11,2,95.38,51.42,Siaya
2015,11,3,50.06,51.02,Siaya
2015,12,1,84.84,36.56,Siaya
2015,12,2,56.14,26.28,Siaya
2015,12,3,16.78,35.96,Siaya
2016,1,1,11.62,19.38,Siaya
2016,1,2,50.42,21.68,Siaya
2016,1,3,23.7,20.64,Siaya
2016,2,1,6.44,23.06,Siaya
2016,2,2,6.06,22.2,Siaya
2016,2,3,13.7,19.64,Siaya
2016,3,1,58.5,41.76,Siaya
