Year,Month,Dekad,Rainfall (mm),Average (mm),County 
2014,1,1,1.359,5.564,Tana River 
2014,1,2,0.887,3.069,Tana River 
2014,1,3,0.97,2.346,Tana River 
2014,2,1,1.531,0.572,Tana River 
2014,2,2,1.348,0.981,Tana River 
2014,2,3,1.308,1.764,Tana River 
2014,3,1,4.293,10.671,Tana River 
2014,3,2,49.655,13.756,Tana River 
2014,3,3,20.577,21.802,Tana River 
2014,4,1,36.708,29.352,Tana River 
2014,4,2,35.303,21.326,Tana River 
2014,4,3,10.579,18.921,Tana River 
2014,5,1,11.672,12.94,Tana River 
2014,5,2,9.721,8.218,Tana River 
2014,5,3,11.061,10.103,Tana River 
2014,6,1,6.788,5.096,Tana River 
2014,6,2,4.124,5.07,Tana River 
2014,6,3,6.295,5.399,Tana River 
2014,7,1,2.594,3.237,Tana River 
2014,7,2,3.722,3.425,Tana River 
2014,7,3,5.618,4.384,Tana River 
2014,8,1,3.559,3.162,Tana River 
2014,8,2,3.754,2.626,Tana River 
2014,8,3,4.576,3.83,Tana River 
2014,9,1,4.29,4.116,Tana River 
2014,9,2,6.177,4.398,Tana River 
2014,9,3,2.663,4.754,Tana River 
2014,10,1,6.36,6.019,Tana River 
2014,10,2,5.569,9.1,Tana River 
2014,10,3,4.794,17.13,Tana River 
2014,11,1,51.051,40.171,Tana River 
2014,11,2,61.577,40.258,Tana River 
2014,11,3,20.07,40.568,Tana River 
2014,12,1,41.174,33.842,Tana River 
2014,12,2,9.543,27.351,Tana River 
2014,12,3,12.916,20.541,Tana River 
2015,1,1,1.482,5.564,Tana River 
2015,1,2,1.447,3.069,Tana River 
2015,1,3,1.221,2.346,Tana River 
2015,2,1,0.653,0.572,Tana River 
2015,2,2,1.106,0.981,Tana River 
2015,2,3,1.137,1.764,Tana River 
2015,3,1,4.276,10.671,Tana River 
2015,3,2,5.523,13.756,Tana River 
2015,3,3,33.904,21.802,Tana River 
2015,4,1,26.125,29.352,Tana River 
2015,4,2,28.764,21.326,Tana River 
2015,4,3,35.839,18.921,Tana River 
2015,5,1,28.515,12.94,Tana River 
2015,5,2,4.736,8.218,Tana River 
2015,5,3,10.856,10.103,Tana River 
2015,6,1,3.964,5.096,Tana River 
2015,6,2,3.112,5.07,Tana River 
2015,6,3,6.56,5.399,Tana River 
2015,7,1,4.93,3.237,Tana River 
2015,7,2,4.215,3.425,Tana River 
2015,7,3,4.947,4.384,Tana River 
2015,8,1,4.15,3.162,Tana River 
