Year,Month,Dekad,Rainfall (mm),Average (mm),County 
2014,1,1,0.405,1.003,Turkana
2014,1,2,0.345,0.722,Turkana
2014,1,3,0.431,1.257,Turkana
2014,2,1,2.037,1.943,Turkana
2014,2,2,4.616,2.427,Turkana
2014,2,3,1.768,3.064,Turkana
2014,3,1,2.659,9.802,Turkana
2014,3,2,31.987,11.067,Turkana
2014,3,3,18.024,18.144,Turkana
2014,4,1,17.529,16.512,Turkana
2014,4,2,3.151,14.365,Turkana
2014,4,3,1.457,17.873,Turkana
2014,5,1,7.248,13.231,Turkana
2014,5,2,4.472,10.044,Turkana
2014,5,3,2.973,8.23,Turkana
2014,6,1,4.058,7.236,Turkana
2014,6,2,3.707,7.741,Turkana
2014,6,3,2.588,5.999,Turkana
2014,7,1,22.575,8.708,Turkana
2014,7,2,5.979,8.936,Turkana
2014,7,3,4.673,10.762,Turkana
2014,8,1,3.436,5.562,Turkana
2014,8,2,2.509,5.633,Turkana
2014,8,3,20.587,5.635,Turkana
2014,9,1,5.98,3.044,Turkana
2014,9,2,0.835,2.09,Turkana
2014,9,3,1.012,2.215,Turkana
2014,10,1,4.109,2.954,Turkana
2014,10,2,9.567,3.01,Turkana
2014,10,3,2.702,4.189,Turkana
2014,11,1,1.363,6.68,Turkana
2014,11,2,3.604,5.66,Turkana
2014,11,3,15.905,6.558,Turkana
2014,12,1,7.019,5.32,Turkana
2014,12,2,3.856,5.654,Turkana
2014,12,3,3.854,6.732,Turkana
2015,1,1,0.278,1.003,Turkana
2015,1,2,0.159,0.722,Turkana
2015,1,3,0.259,1.257,Turkana
2015,2,1,0.703,1.943,Turkana
2015,2,2,2.542,2.427,Turkana
2015,2,3,1.286,3.064,Turkana
2015,3,1,2.77,9.802,Turkana
2015,3,2,2.423,11.067,Turkana
2015,3,3,9.2,18.144,Turkana
2015,4,1,49.335,16.512,Turkana
2015,4,2,29.132,14.365,Turkana
2015,4,3,9.005,17.873,Turkana
2015,5,1,23.525,13.231,Turkana
2015,5,2,3.248,10.044,Turkana
2015,5,3,2.903,8.23,Turkana
2015,6,1,8.123,7.236,Turkana
2015,6,2,8.829,7.741,Turkana
2015,6,3,4.608,5.999,Turkana
2015,7,1,3.467,8.708,Turkana
2015,7,2,3.251,8.936,Turkana
2015,7,3,9.118,10.762,Turkana
2015,8,1,2.622,5.562,Turkana
2015,8,2,3.426,5.633,Turkana
2015,8,3,1.943,5.635,Turkana
2015,9,1,2.504,3.044,Turkana
2015,9,2,0.704,2.09,Turkana
2015,9,3,1.796,2.215,Turkana
2015,10,1,1.586,2.954,Turkana
2015,10,2,1.552,3.01,Turkana
2015,10,3,6.882,4.189,Turkana
2015,11,1,23.233,6.68,Turkana
2015,11,2,20.635,5.66,Turkana
2015,11,3,5.313,6.558,Turkana
2015,12,1,12.845,5.32,Turkana
2015,12,2,9.076,5.654,Turkana
2015,12,3,2.712,6.732,Turkana
2016,1,1,0.823,1.003,Turkana
2016,1,2,2.019,0.722,Turkana
2016,1,3,0.438,1.257,Turkana
2016,2,1,1,1.943,Turkana
2016,2,2,1.583,2.427,Turkana
2016,2,3,2.072,3.064,Turkana
2016,3,1,23.072,9.802,Turkana
2016,3,2,3.667,11.067,Turkana
2016,3,3,4.875,18.144,Turkana
2016,4,1,25.024,16.512,Turkana
2016,4,2,29.295,14.365,Turkana
2016,4,3,41.893,17.873,Turkana
2016,5,1,21.304,13.231,Turkana
2016,5,2,6.756,10.044,Turkana
2016,5,3,1.925,8.23,Turkana
2016,6,1,3.453,7.236,Turkana
2016,6,2,8.359,7.741,Turkana
2016,6,3,10.177,5.999,Turkana
2016,7,1,4.867,8.708,Turkana
2016,7,2,4.701,8.936,Turkana
2016,7,3,9.11,10.762,Turkana
2016,8,1,5.89,5.562,Turkana
2016,8,2,2.394,5.633,Turkana
2016,8,3,2.319,5.635,Turkana
2016,9,1,0.68,3.044,Turkana
2016,9,2,1.231,2.09,Turkana
2016,9,3,1.482,2.215,Turkana
2016,10,1,1.698,2.954,Turkana
2016,10,2,1.45,3.01,Turkana
2016,10,3,2.405,4.189,Turkana
2016,11,1,1.906,6.68,Turkana
2016,11,2,1.677,5.66,Turkana
2016,11,3,5.484,6.558,Turkana
2016,12,1,1.6,5.32,Turkana
2016,12,2,1.753,5.654,Turkana
2016,12,3,1.722,6.732,Turkana
2017,1,1,1.177,1.003,Turkana
2017,1,2,0.645,0.722,Turkana
2017,1,3,3.285,1.257,Turkana
2017,2,1,1.896,1.943,Turkana
2017,2,2,8.477,2.427,Turkana
2017,2,3,15.89,3.064,Turkana
2017,3,1,4.859,9.802,Turkana
2017,3,2,6.96,11.067,Turkana
2017,3,3,10.707,18.144,Turkana
2017,4,1,1.74,16.512,Turkana
2017,4,2,8.005,14.365,Turkana
2017,4,3,10.732,17.873,Turkana
2017,5,1,8.295,13.231,Turkana
2017,5,2,3.427,10.044,Turkana
2017,5,3,13.04,8.23,Turkana
2017,6,1,2.196,7.236,Turkana
2017,6,2,3.249,7.741,Turkana
2017,6,3,2.735,5.999,Turkana
2017,7,1,23.762,8.708,Turkana
2017,7,2,26.26,8.936,Turkana
2017,7,3,20.311,10.762,Turkana
2017,8,1,5.85,5.562,Turkana
2017,8,2,3.025,5.633,Turkana
2017,8,3,8.305,5.635,Turkana
2017,9,1,7.73,3.044,Turkana
2017,9,2,3.485,2.09,Turkana
2017,9,3,1.847,2.215,Turkana
2017,10,1,1.592,2.954,Turkana
2017,10,2,19.969,3.01,Turkana
2017,10,3,7.177,4.189,Turkana
2017,11,1,15.248,6.68,Turkana
2017,11,2,1.743,5.66,Turkana
2017,11,3,1.257,6.558,Turkana
2017,12,1,2.669,5.32,Turkana
2017,12,2,2.654,5.654,Turkana
2017,12,3,2.126,6.732,Turkana
2018,1,1,0.261,1.003,Turkana
2018,1,2,0.144,0.722,Turkana
2018,1,3,0.283,1.257,Turkana
2018,2,1,1.125,1.943,Turkana
2018,2,2,1.871,2.427,Turkana
2018,2,3,4.095,3.064,Turkana
2018,3,1,35.832,9.802,Turkana
