Year,Month,Dekad,Rainfall (mm),Average (mm),County
2014,1,1,0.882,1.553,Wajir
2014,1,2,0.036,0.258,Wajir
2014,1,3,0.116,0.386,Wajir
2014,2,1,1.295,0.47,Wajir
2014,2,2,1.283,0.794,Wajir
2014,2,3,1.122,1.414,Wajir
2014,3,1,1.395,4.015,Wajir
2014,3,2,16.095,5.044,Wajir
2014,3,3,17.105,14.069,Wajir
2014,4,1,25.107,37.217,Wajir
2014,4,2,86.506,45.449,Wajir
2014,4,3,18.164,40.779,Wajir
2014,5,1,13.104,11.132,Wajir
2014,5,2,12.023,7.017,Wajir
2014,5,3,9.657,5.585,Wajir
2014,6,1,1.333,0.852,Wajir
2014,6,2,0.036,0.016,Wajir
2014,6,3,0.076,0.018,Wajir
2014,7,1,0.928,0.637,Wajir
2014,7,2,1.207,0.813,Wajir
2014,7,3,1.257,0.916,Wajir
2014,8,1,0.584,0.374,Wajir
2014,8,2,0.602,0.31,Wajir
2014,8,3,0.706,0.382,Wajir
2014,9,1,0.514,0.328,Wajir
2014,9,2,0.692,0.471,Wajir
2014,9,3,1.253,1.302,Wajir
2014,10,1,6.173,8.003,Wajir
2014,10,2,6.573,17.065,Wajir
2014,10,3,4.816,23.541,Wajir
2014,11,1,41.374,27.964,Wajir
2014,11,2,34.57,28.638,Wajir
2014,11,3,15.874,26.768,Wajir
2014,12,1,3.444,14.661,Wajir
2014,12,2,3.281,6.395,Wajir
2014,12,3,5.733,5.05,Wajir
2015,1,1,1.005,1.553,Wajir
2015,1,2,0.269,0.258,Wajir
2015,1,3,0.355,0.386,Wajir
2015,2,1,0.445,0.47,Wajir
2015,2,2,1.028,0.794,Wajir
2015,2,3,1.073,1.414,Wajir
2015,3,1,1.259,4.015,Wajir
2015,3,2,1.228,5.044,Wajir
2015,3,3,31.886,14.069,Wajir
2015,4,1,55.732,37.217,Wajir
2015,4,2,50.804,45.449,Wajir
2015,4,3,25.961,40.779,Wajir
2015,5,1,6.736,11.132,Wajir
2015,5,2,2.302,7.017,Wajir
2015,5,3,3.644,5.585,Wajir
2015,6,1,1.004,0.852,Wajir
2015,6,2,0.052,0.016,Wajir
2015,6,3,0.091,0.018,Wajir
2015,7,1,1.043,0.637,Wajir
2015,7,2,1.241,0.813,Wajir
2015,7,3,1.249,0.916,Wajir
2015,8,1,0.561,0.374,Wajir
2015,8,2,0.443,0.31,Wajir
2015,8,3,0.574,0.382,Wajir
2015,9,1,0.5,0.328,Wajir
2015,9,2,0.608,0.471,Wajir
2015,9,3,1.133,1.302,Wajir
2015,10,1,17.932,8.003,Wajir
2015,10,2,28.241,17.065,Wajir
2015,10,3,4.604,23.541,Wajir
2015,11,1,36.102,27.964,Wajir
2015,11,2,40.698,28.638,Wajir
2015,11,3,43.143,26.768,Wajir
2015,12,1,7.281,14.661,Wajir
2015,12,2,6.977,6.395,Wajir
2015,12,3,11.978,5.05,Wajir
2016,1,1,3.04,1.553,Wajir
2016,1,2,0.768,0.258,Wajir
2016,1,3,0.527,0.386,Wajir
2016,2,1,1.579,0.47,Wajir
2016,2,2,2.314,0.794,Wajir
2016,2,3,5.343,1.414,Wajir
2016,3,1,3.94,4.015,Wajir
2016,3,2,0.851,5.044,Wajir
2016,3,3,0.97,14.069,Wajir
2016,4,1,24.913,37.217,Wajir
2016,4,2,42.416,45.449,Wajir
2016,4,3,49.121,40.779,Wajir
2016,5,1,25.796,11.132,Wajir
2016,5,2,2.893,7.017,Wajir
2016,5,3,3.092,5.585,Wajir
2016,6,1,1.216,0.852,Wajir
2016,6,2,0.05,0.016,Wajir
2016,6,3,0.087,0.018,Wajir
2016,7,1,1.078,0.637,Wajir
2016,7,2,1.351,0.813,Wajir
2016,7,3,1.462,0.916,Wajir
2016,8,1,0.515,0.374,Wajir
2016,8,2,0.387,0.31,Wajir
2016,8,3,0.569,0.382,Wajir
2016,9,1,0.504,0.328,Wajir
2016,9,2,0.612,0.471,Wajir
2016,9,3,1.17,1.302,Wajir
2016,10,1,4.337,8.003,Wajir
2016,10,2,1.842,17.065,Wajir
2016,10,3,3.775,23.541,Wajir
2016,11,1,15.075,27.964,Wajir
2016,11,2,60.059,28.638,Wajir
2016,11,3,43.138,26.768,Wajir
2016,12,1,13.625,14.661,Wajir
2016,12,2,6.601,6.395,Wajir
2016,12,3,9.162,5.05,Wajir
2017,1,1,1.077,1.553,Wajir
2017,1,2,0.181,0.258,Wajir
2017,1,3,0.357,0.386,Wajir
2017,2,1,0.578,0.47,Wajir
2017,2,2,6.742,0.794,Wajir
2017,2,3,1.239,1.414,Wajir
2017,3,1,1.433,4.015,Wajir
2017,3,2,0.559,5.044,Wajir
2017,3,3,1.343,14.069,Wajir
2017,4,1,37.999,37.217,Wajir
2017,4,2,32.654,45.449,Wajir
2017,4,3,28.66,40.779,Wajir
2017,5,1,33.352,11.132,Wajir
2017,5,2,4.103,7.017,Wajir
2017,5,3,7.923,5.585,Wajir
2017,6,1,1.18,0.852,Wajir
2017,6,2,0.077,0.016,Wajir
2017,6,3,0.097,0.018,Wajir
2017,7,1,0.853,0.637,Wajir
2017,7,2,1.13,0.813,Wajir
2017,7,3,1.959,0.916,Wajir
